QueryID	Query
Q01	part of mental life or psychic content in psychoanalysis that is immediately available to the ego—compare PRECONSCIOUS, UNCONSCIOUS The Cambridge
Q02	pivoting is useful when A is (nearly) rank deficient, or is suspected of being so. It can also improve numerical accuracy. P is usually chosen so that the diagonal elements of R are non-increasing
Q03	time to do so. And, O scion of Kuru's race, king Dasaratha was greatly pleased to behold his son
Q04	and placed Maithili on the ground, (that vulture) old and overcome with fatigue was (at length) slain by Ravana in battle. Thus slain by the powerful Rāvana, the vulture,
Q05	It is a one-story 34 by 74 feet (10 m × 23 m) building which was built during 1857-58 of cypress timbers and bricks that were made by slaves.
Q06	[14] A discussion of physics literacy includes energy conservation, ozone depletion and global warming.[15]
Q07	(4,921 ft) and above in the north and 2,000 m (6,562 ft) and above in the south have a more temperate climate. The average annual temperature is around 15 °C (59 °F). In some parts frost is common, and temperatures reach the freezing point during the winter months. Mean temperatures range from 20 °C (68 °F) in the south
Q08	Thirunadhikkara Thiruppathisaram Thirucharanathumalai Chitharal Jain Munnar Marayur Thekkady Kalikesam Mathur Aqueduct Mukkadal Dam Muttom Olakaruvi Bodinayakkanur Palace Pechiparai Reservoir Bodimettu Beach Thirparappu Uthamapalayam Vattakottai Fort Uthamapalayam Vattaparai Falls EducationColleges Cape Institute of Technology Uthamapalayam Agniswamy College of Education CSI Institute of Technology Malankara Catholic College
Q09	Araku is located in the Eastern Ghats about 114 kilometres (71 mi) from Visakhapatnam, close to the Odisha state border. The Anantagiri and Sunkarimetta Reserved Forest, which are part of
Q10	Mathematical foundations: Numerical and applied linear algebra, initial & boundary value problems, Fourier analysis, optimization Data Science for developing methods and algorithms to handle and  extract  knowledge from large scientific data
Q11	Starring Prem Kumar, Prajwal Devaraj and Hariprriya, the film also features Dhananjay and Sudharani in a supporting role. The film score and  soundtrack is composed by V. Harikrishna and the
Q12	two brothers."When I enter into combat, making myself invisible, even Indra the lord of celestials is not able to see or approach me. How much less, you two!""O, Descendents
Q13	Being thus accosted by Hanumān, Rāma, the son of Dasaratha, placing that jewel on his breast, wept with Laksmana. Beholding that excellent jewel, Rāghava, stricken with grief, with eyes full of tears, spake to Sugriva,
Q14	The literary production of Aleksis Kivi, the Finnish national author, consisted mainly of plays. One of his best-known plays is Heath Cobblers from 1864. A playwright or dramatist is a person who writes plays.
Q15	dystopias are depictions of Earth in the films Wall-E and Avatar. While eco-dystopias are more common
Q16	Common side effect include dry mouth, dizziness, headaches, hypotension, and sleepiness.[8] Severe side effects may include hallucinations, heart arrhythmias, and confusion.[9] If rapidly stopped
Q17	[12][13] In exchange for written client permission to record and post content, Lee offers patients discounted or free treatment.[12] In late 2019 the decision to make future content
Q18	the Mersenne Twister generates integers in the range [0, 2wÂ âÂ 1].
Q19	Bakst R, Merola JF, Franks AG, Sanchez M (October 2008). "Raynaud's phenomenon: pathogenesis and management". Journal of the American Academy of Dermatology.
Q20	The gruff old man sat in the back of the bait shop grumbling to himself as he scooped out a handful of worms.
